id,name,team,height,weight,year,position,hometown,state,country
160900,Will Johnson,Michigan,,,,,,,
4361025,Jack Tuttle,Michigan,76.0,211.0,4.0,QB,San Marcos,CA,USA
4361991,Cam Goode,Michigan,73.0,314.0,4.0,DL,Washington,DC,USA
4369467,Zach Peterson,Michigan,73.0,190.0,4.0,WR,Roswell,GA,USA
4372062,Michael Barrett,Michigan,72.0,239.0,4.0,LB,Valdosta,GA,USA
4372065,German Green,Michigan,74.0,190.0,4.0,DB,Desoto,TX,USA
4426450,Trente Jones,Michigan,76.0,325.0,4.0,OL,Grayson,GA,USA
4426479,Cornelius Johnson,Michigan,75.0,208.0,4.0,WR,Greenwich,CT,USA
4426638,Karsen Barnhart,Michigan,77.0,316.0,4.0,OL,Paw Paw,MI,USA
4427140,Trevor Keegan,Michigan,78.0,320.0,4.0,OL,Crystal Lake,IL,USA
4427448,LaDarius Henderson,Michigan,76.0,315.0,4.0,OL,Waxahachie,TX,USA
4427736,Caden Kolesar,Michigan,70.0,195.0,4.0,DB,Westlake,OH,USA
4428144,Drake Nugent,Michigan,74.0,301.0,4.0,OL,Lone Tree,CO,USA
4428414,Mike Sainristil,Michigan,70.0,182.0,4.0,DB,Everett,MA,USA
4429000,Myles Hinton,Michigan,78.0,342.0,4.0,OL,Johns Creek,GA,USA
4429005,Braiden McGregor,Michigan,78.0,267.0,4.0,DE,Port Huron,MI,USA
4429058,Jaylen Harrell,Michigan,76.0,242.0,4.0,DE,Tampa,FL,USA
4429096,Blake Corum,Michigan,68.0,213.0,4.0,RB,Marshall,VA,USA
4429121,Kalel Mullings,Michigan,74.0,233.0,4.0,RB,West Roxbury,MA,USA
4429139,Makari Paige,Michigan,76.0,208.0,4.0,DB,West Bloomfield,MI,USA
4429552,Eamonn Dennis,Michigan,69.0,194.0,4.0,WR,Worcester,MA,USA
4429913,Quinten Johnson,Michigan,71.0,203.0,4.0,DB,Washington,DC,USA
4430638,Joey Velazquez,Michigan,71.0,226.0,4.0,LB,Columbus,OH,USA
4430915,Reece Atteberry,Michigan,77.0,309.0,4.0,DL,Aurora,CO,USA
4431212,Junior Colson,Michigan,75.0,247.0,3.0,LB,Brentwood,TN,USA
4431256,Cristian Dixon,Michigan,74.0,197.0,3.0,WR,Santa Ana,CA,USA
4431317,Jeffrey Persi,Michigan,80.0,310.0,4.0,OL,Mission Viejo,CA,USA
4431492,Roman Wilson,Michigan,72.0,192.0,4.0,WR,Honolulu,HI,USA
4431536,Donovan Edwards,Michigan,73.0,212.0,4.0,RB,West Bloomfield,MI,USA
4431538,Giovanni El-Hadi,Michigan,77.0,310.0,4.0,OL,Sterling Heights,MI,USA
4432260,Matthew Hibner,Michigan,77.0,254.0,4.0,TE,Burke,VA,USA
4432301,Kris Jenkins,Michigan,75.0,305.0,4.0,DL,Olney,MD,USA
4432658,Raheem Anderson,Michigan,75.0,318.0,4.0,OL,Detroit,MI,USA
4432661,Rayshaun Benny,Michigan,76.0,296.0,4.0,DL,Detroit,MI,USA
4432684,Greg Crippen,Michigan,76.0,309.0,4.0,OL,Northborough,MA,USA
4433963,Zak Zinter,Michigan,78.0,322.0,4.0,OL,North Andover,MA,USA
4433970,J.J. McCarthy,Michigan,75.0,202.0,3.0,QB,La Grange Park,IL,USA
4571267,Dale Chesson,Michigan,72.0,194.0,4.0,WR,Saint Louis,MO,USA
4572041,Danny Hughes,Michigan,72.0,208.0,4.0,RB,Naperville,IL,USA
4572043,Leon Franklin,Michigan,69.0,205.0,4.0,RB,Southfield,MI,USA
4572050,Keshaun Harris,Michigan,71.0,192.0,4.0,DB,Lansing,MI,USA
4572051,William Wagner,Michigan,74.0,245.0,4.0,LS,Alpharetta,GA,USA
4572371,Josh Wallace,Michigan,72.0,190.0,4.0,DB,Hyattsville,MD,USA
4575529,James Turner,Michigan,72.0,196.0,4.0,PK,Saline,MI,USA
4576297,AJ Barner,Michigan,78.0,251.0,4.0,TE,Aurora,OH,USA
4594984,Tavierre Dunlap,Michigan,72.0,229.0,4.0,RB,Del Valle,TX,USA
4596357,Kechaun Bennett,Michigan,76.0,257.0,4.0,DE,Suffield,CT,USA
4599197,Tristan Bounds,Michigan,80.0,305.0,4.0,OL,Wallingford,CT,USA
4600387,TJ Guy,Michigan,76.0,250.0,4.0,DE,Mansfield,MA,USA
4603101,Rod Moore,Michigan,72.0,198.0,4.0,DB,Clayton,OH,USA
4611768,Jaydon Hood,Michigan,73.0,225.0,4.0,LB,Fort Lauderdale,FL,USA
4682698,Dominick Giudice,Michigan,76.0,310.0,4.0,OL,Freehold,NJ,USA
4682758,Tommy Doman,Michigan,76.0,215.0,4.0,PK,Rochester Hills,MI,USA
4682983,Josaiah Stewart,Michigan,73.0,245.0,4.0,DE,Everett,MA,USA
4683118,Ja'Den McBurrows,Michigan,71.0,194.0,4.0,DB,Fort Lauderdale,FL,USA
4683262,Tyler McLaurin,Michigan,75.0,252.0,4.0,DE,Bolingbrook,IL,USA
4685297,Darrius Clemons,Michigan,75.0,211.0,3.0,WR,Portland,OR,USA
4685311,Jayden Denegal,Michigan,77.0,235.0,3.0,QB,Apple Valley,CA,USA
4685408,Will Johnson,Michigan,74.0,202.0,3.0,DB,Detroit,MI,USA
4685422,Kody Jones,Michigan,71.0,193.0,3.0,DB,Memphis,TN,USA
4685461,Derrick Moore,Michigan,75.0,256.0,3.0,DE,Baltimore,MD,USA
4685464,Tyler Morris,Michigan,71.0,185.0,3.0,WR,Bolingbrook,IL,USA
4685495,Alex Orji,Michigan,75.0,235.0,3.0,QB,Sachse,TX,USA
4685507,Keon Sabb,Michigan,73.0,206.0,2.0,DB,Glassboro,NJ,USA
4685535,CJ Stokes,Michigan,70.0,205.0,2.0,RB,Columbia,SC,USA
4690298,Jake Thaw,Michigan,73.0,192.0,4.0,WR,Westport,CT,USA
4690299,Christian Bartholomew,Michigan,72.0,187.0,4.0,WR,Galesburg,MI,USA
4690300,Will Rolapp,Michigan,72.0,198.0,4.0,WR,Darien,CT,USA
4690303,Joshua Luther,Michigan,69.0,182.0,4.0,DB,Clarkston,MI,USA
4690304,Greg Tarr,Michigan,74.0,215.0,4.0,LS,Washington,MI,USA
4690305,Jerome Nichols,Michigan,72.0,235.0,4.0,LB,Belleville,MI,USA
4690306,Noah Stewart,Michigan,79.0,292.0,4.0,OL,Muskegon,MI,USA
4695705,Marlin Klein,Michigan,78.0,247.0,3.0,TE,Cologne,,Germany
4696688,Josh Beetham,Michigan,77.0,250.0,3.0,TE,Yorkville,IL,USA
4701937,Myles Pollard,Michigan,73.0,194.0,3.0,DB,Brentwood,TN,USA
4702755,Amorion Walker,Michigan,75.0,182.0,3.0,WR,Ponchatoula,LA,USA
4711413,Connor Jones,Michigan,78.0,320.0,3.0,OL,Monument,CO,USA
4712882,Ike Iwunnah,Michigan,75.0,313.0,4.0,DL,Garland,TX,USA
4723086,Colston Loveland,Michigan,77.0,245.0,3.0,TE,Gooding,ID,USA
4751681,Ernest Hausmann,Michigan,74.0,235.0,3.0,LB,Columbus,NE,USA
4794102,Zeke Berry,Michigan,71.0,196.0,3.0,DB,Pittsburg,CA,USA
4808746,Micah Pollard,Michigan,74.0,234.0,3.0,LB,Jacksonville,FL,USA
4868340,Joey Klunder,Michigan,75.0,275.0,3.0,DE,Grosse Pointe,MI,USA
4869584,Alessandro Lorenzetti,Michigan,77.0,285.0,3.0,DL,Montreal,PQ,Canada
4870641,Semaj Bridgeman,Michigan,74.0,223.0,1.0,LB,Philadelphia,PA,USA
4870699,Karmello English,Michigan,71.0,190.0,1.0,WR,Phenix City,AL,USA
4870704,Enow Etta,Michigan,77.0,308.0,2.0,DL,Keller,TX,USA
4870717,Nathan Efobi,Michigan,75.0,307.0,2.0,OL,Cumming,GA,USA
4870775,Amir Herring,Michigan,75.0,300.0,1.0,OL,Southfield,MI,USA
4873232,Mason Graham,Michigan,75.0,320.0,3.0,DL,Anaheim,CA,USA
4878681,Davis Warren,Michigan,74.0,195.0,4.0,QB,Los Angeles,CA,USA
4878682,Jesse Madden,Michigan,73.0,180.0,3.0,DB,Oakland,CA,USA
4878686,Peyton O'Leary,Michigan,75.0,203.0,4.0,WR,Byfield,MA,USA
4878687,Joe Taylor,Michigan,70.0,190.0,4.0,WR,Chelsea,MI,USA
4878688,Christian Boivin,Michigan,72.0,225.0,4.0,LB,Traverse City,MI,USA
4878690,Trevor Andrews,Michigan,73.0,224.0,3.0,LB,Brentwood,TN,USA
4878691,Noah Howes,Michigan,76.0,240.0,4.0,TE,Rochester,MI,USA
4878694,Peter Simmons,Michigan,73.0,285.0,4.0,DL,Bonita Springs,FL,USA
4878695,Max Bredeson,Michigan,74.0,240.0,4.0,TE,Hartland,WI,USA
4894654,Kenneth Grant,Michigan,75.0,339.0,3.0,DL,Merrillville,IN,USA
4896353,Jimmy Rolder,Michigan,74.0,240.0,3.0,LB,Orland Park,IL,USA
4896390,Brandon Mann,Michigan,75.0,245.0,3.0,TE,Franklin,MI,USA
4899352,Deakon Tonielli,Michigan,77.0,238.0,2.0,TE,Oswego,IL,USA
4899366,Semaj Morgan,Michigan,70.0,174.0,2.0,WR,West Bloomfield,MI,USA
4899479,Evan Link,Michigan,78.0,328.0,2.0,OL,Burke,VA,USA
4905609,Fredrick Moore,Michigan,73.0,181.0,2.0,WR,Saint Louis,MO,USA
4907672,Adam Samaha,Michigan,71.0,195.0,2.0,PK,Ypsilanti,MI,USA
4910827,Evan Boutorwick,Michigan,75.0,230.0,3.0,LS,Sterling Heights,MI,USA
4912156,Andrew Gentry,Michigan,79.0,327.0,3.0,OL,Littleton,CO,USA
4917858,Cole Cabana,Michigan,72.0,204.0,2.0,RB,Dexter,MI,USA
4918431,Breeon Ishmail,Michigan,75.0,260.0,2.0,DE,Hamilton,OH,USA
4918449,Jyaire Hill,Michigan,74.0,185.0,2.0,DB,Kankakee,IL,USA
4921240,Brooks Bahr,Michigan,77.0,319.0,2.0,DL,Lake Forest,IL,USA
4923036,Cameron Brandt,Michigan,76.0,265.0,2.0,DE,Chatsworth,CA,USA
4923052,Cameron Calhoun,Michigan,72.0,177.0,1.0,CB,Cincinnati,OH,USA
5008017,Benjamin Hall,Michigan,71.0,235.0,2.0,RB,Acworth,GA,USA
5077503,Hayden Moore,Michigan,74.0,222.0,1.0,LB,Parker,CO,USA
5080968,Aymeric Koumba,Michigan,77.0,260.0,2.0,DE,Bordeaux,,France
5085243,Hudson Hollenbeck,Michigan,74.0,206.0,3.0,PK,Collierville,TN,USA
5086014,Joshua Nichols,Michigan,70.0,205.0,3.0,DB,Detroit,MI,USA
5086016,Nico Andrighetto,Michigan,69.0,190.0,3.0,DB,Mountain View,CA,USA
5086017,Logan Forbes,Michigan,74.0,195.0,3.0,WR,Clarkston,MI,USA
5086018,Bryce Wilcox,Michigan,71.0,191.0,3.0,DB,Sharpsburg,GA,USA
5086019,Joel Metzger,Michigan,73.0,230.0,4.0,LB,Battle Creek,MI,USA
5086021,Henry Donohue,Michigan,71.0,215.0,4.0,RB,Bronxville,NY,USA
5086022,James Kavouklis,Michigan,73.0,284.0,3.0,OL,Tampa,FL,USA
5086026,Chibi Anwunah,Michigan,77.0,278.0,3.0,DE,Canton,MI,USA
5088628,Zack Marshall,Michigan,76.0,235.0,2.0,TE,Solana Beach,CA,USA
5091783,Jason Hewlett,Michigan,74.0,227.0,2.0,LB,Youngstown,OH,USA
5092246,Cordell Jones-McNally,Michigan,68.0,175.0,1.0,PK,Marcellus,MI,USA
5092262,DJ Waller Jr.,Michigan,75.0,202.0,2.0,DB,Youngstown,OH,USA
5103804,Brandyn Hillman,Michigan,72.0,200.0,2.0,DB,Portsmouth,VA,USA
5108220,Kendrick Bell,Michigan,74.0,191.0,2.0,WR,Kansas City,MO,USA
5156342,Jack Grusser,Michigan,72.0,175.0,1.0,QB,Franklin Lakes,NJ,USA
5156344,Micah Davis,Michigan,73.0,203.0,2.0,DB,Dexter,MI,USA
5156345,Grayson Dee,Michigan,73.0,235.0,2.0,LB,Pittsburgh,PA,USA
5156346,Jack MacKinnon,Michigan,76.0,250.0,2.0,LB,Sarasota,FL,USA
5156347,Liam Groulx,Michigan,72.0,225.0,2.0,LB,Charlotte,NC,USA
5156348,Bryson Kuzdzal,Michigan,71.0,198.0,2.0,RB,Ada,MI,USA
5156349,Jalen Hoffman,Michigan,75.0,235.0,2.0,TE,Burke,VA,USA
5156350,Cole Morgan,Michigan,76.0,275.0,2.0,OL,Princeton,NJ,USA
5156351,John Weidenbach,Michigan,72.0,215.0,2.0,LB,Naperville,IL,USA
5156352,Stone Anderson,Michigan,74.0,190.0,2.0,PK,Deerfield,MA,USA
5156353,Trey Pierce,Michigan,74.0,315.0,2.0,DL,Evergreen Park,IL,USA
